# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210364
UNGROUPED	19332980.331383273
UNGROUPED|s__Actinomyces_bouchesdurhonensis.t__SGB17152	389.5556677411
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	2513.4315417226
UNGROUPED|s__Akkermansia_muciniphila.t__SGB9226	44548.0032459043
UNGROUPED|s__Alistipes_finegoldii.t__SGB2301	842.749934617
UNGROUPED|s__Alistipes_indistinctus.t__SGB2325	1445.8076356727
UNGROUPED|s__Alistipes_shahii.t__SGB2295	1420.6736481404
UNGROUPED|s__Allisonella_histaminiformans.t__SGB5843	367.4362925629
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	22904.1197270281
UNGROUPED|s__Anaeromassilibacillus_sp_An250.t__SGB14894	3540.5039223955
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	4671.4381504305
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4547	3521.2739351012
UNGROUPED|s__Anaerotignum_faecicola.t__SGB5190	3392.9092772437
UNGROUPED|s__Bacteroides_caccae.t__SGB1877	11788.1998481332
UNGROUPED|s__Bacteroides_finegoldii.t__SGB1862	3448.6035060046
UNGROUPED|s__Bacteroides_fragilis.t__SGB1855	2951.09001863
UNGROUPED|s__Bacteroides_intestinalis.t__SGB1846	2246.5848016269
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	3455.4352479037
UNGROUPED|s__Bacteroides_salyersiae.t__SGB1857	3050.6345276715
UNGROUPED|s__Bacteroides_thetaiotaomicron.t__SGB1861	3894.9431810832
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	7502.1600074222
UNGROUPED|s__Bacteroides_xylanisolvens.t__SGB1867	2988.6494524945
UNGROUPED|s__Barnesiella_intestinihominis.t__SGB1965	1708.7331763411
UNGROUPED|s__Bifidobacterium_bifidum.t__SGB17256	2958.6791123086
UNGROUPED|s__Bifidobacterium_breve.t__SGB17247	34516.5047397226
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	5487.2086126773
UNGROUPED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	4073.3023375325
UNGROUPED|s__Blautia_caecimuris.t__SGB4862	1980.0248015101
UNGROUPED|s__Blautia_faecis.t__SGB4820	13261.6713050449
UNGROUPED|s__Blautia_glucerasea.t__SGB4816	2783.3541123815
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	8558.895312653
UNGROUPED|s__Blautia_obeum.t__SGB4810	2256.7171929018
UNGROUPED|s__Blautia_obeum.t__SGB4811	4589.9352489433
UNGROUPED|s__Blautia_producta.t__SGB4785	4669.0850442638
UNGROUPED|s__Blautia_producta.t__SGB4786	5452.3691418429
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	56030.0013827686
UNGROUPED|s__Butyricimonas_virosa.t__SGB1784	357.4065838531
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	22573.105183646
UNGROUPED|s__Clostridia_bacterium_UC5_1_1D1.t__SGB14995	3280.8226075433
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4269	2642.8560408516
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4721	6378.2692160901
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q3526.t__SGB4703	746.3712942615
UNGROUPED|s__Clostridiales_bacterium.t__SGB15159	1816.5207124079
UNGROUPED|s__Clostridium_butyricum.t__SGB4037	2033.9321907555
UNGROUPED|s__Clostridium_fessum.t__SGB4705	4225.022868599
UNGROUPED|s__Clostridium_leptum.t__SGB14853	618.8741797831
UNGROUPED|s__Clostridium_scindens.t__SGB4630	1214.4847474678
UNGROUPED|s__Clostridium_sp_AF34_10BH.t__SGB4914	2028.817575149
UNGROUPED|s__Clostridium_sp_AM22_11AC.t__SGB4749	2424.3683389248
UNGROUPED|s__Clostridium_sp_AT4.t__SGB4753	3046.8155078756
UNGROUPED|s__Coprococcus_comes.t__SGB4577	2520.4992595123
UNGROUPED|s__Dialister_hominis.t__SGB5803_group	104292.892615662
UNGROUPED|s__Dorea_formicigenerans.t__SGB4575	6400.2516627441
UNGROUPED|s__Dorea_longicatena.t__SGB4582	3892.5775693055
UNGROUPED|s__Dorea_sp_AF36_15AT.t__SGB4552	2600.4689177191
UNGROUPED|s__Dysosmobacter_sp_NSJ_60.t__SGB15124	5006.2217849153
UNGROUPED|s__Dysosmobacter_welbionis.t__SGB15078	7674.7880394431
UNGROUPED|s__Eggerthella_lenta.t__SGB14809	5232.6170584989995
UNGROUPED|s__Eisenbergiella_massiliensis.t__SGB4987	6200.351216533
UNGROUPED|s__Emergencia_timonensis.t__SGB3970	3902.8240948272
UNGROUPED|s__Enterobacter_hormaechei.t__SGB10130	400.9054530826
UNGROUPED|s__Enterocloster_bolteae.t__SGB4758	2962.4510532076
UNGROUPED|s__Erysipelatoclostridium_ramosum.t__SGB6744	1033.5027352063
UNGROUPED|s__Erysipelotrichaceae_bacterium_3_1_53.t__SGB4036	2456.5268962846
UNGROUPED|s__Escherichia_coli.t__SGB10068	2431.7579956222
UNGROUPED|s__Eubacterium_rectale.t__SGB4933	23170.5075028068
UNGROUPED|s__Eubacterium_sp_AF34_35BH.t__SGB5051	7372.8607263106
UNGROUPED|s__Eubacterium_ventriosum.t__SGB5045	1663.1118384018
UNGROUPED|s__Faecalibacillus_intestinalis.t__SGB6754	15205.10082904
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15316	10359.8703575387
UNGROUPED|s__Faecalicatena_contorta.t__SGB4613	1113.9632660396
UNGROUPED|s__Firmicutes_bacterium_AF16_15.t__SGB4993	1960.7074509577
UNGROUPED|s__Flavonifractor_plautii.t__SGB15132	1574.8207514539
UNGROUPED|s__Fusicatenibacter_saccharivorans.t__SGB4874	4179.2135016327
UNGROUPED|s__GGB2982_SGB3964.t__SGB3964	842.1517844277
UNGROUPED|s__GGB3000_SGB3991.t__SGB3991	162.9687224513
UNGROUPED|s__GGB3109_SGB4121.t__SGB4121	508.6349351855
UNGROUPED|s__GGB32387_SGB47381.t__SGB47381	909.8363633128
UNGROUPED|s__GGB3256_SGB4303.t__SGB4303	25313.1181438839
UNGROUPED|s__GGB3463_SGB4621.t__SGB4621	1820.1768892724
UNGROUPED|s__GGB3537_SGB4727.t__SGB4727	1325.5053460064
UNGROUPED|s__GGB36331_SGB15121.t__SGB15121	175.9595433227
UNGROUPED|s__GGB3677_SGB4990.t__SGB4990	624.3436925787
UNGROUPED|s__GGB9365_SGB14342.t__SGB14342	152.7520836818
UNGROUPED|s__GGB9509_SGB14906.t__SGB14906	358.4985659471
UNGROUPED|s__GGB9561_SGB14972.t__SGB14972	1493.0775727312
UNGROUPED|s__GGB9581_SGB14999.t__SGB14999	7097.6978353518
UNGROUPED|s__Gordonibacter_pamelaeae.t__SGB14807	2576.0322917175
UNGROUPED|s__Holdemania_filiformis.t__SGB4046	1079.4394491580001
UNGROUPED|s__Hungatella_hathewayi.t__SGB4741	2440.252192539
UNGROUPED|s__Hungatella_hathewayi.t__SGB4742	1285.1104911134
UNGROUPED|s__Lachnoclostridium_sp_An118.t__SGB4623	275.5798572794
UNGROUPED|s__Lachnospiraceae_bacterium_Marseille_Q4251.t__SGB4780	330.661448538
UNGROUPED|s__Lachnospiraceae_bacterium_NSJ_29.t__SGB25431	944.3696878803
UNGROUPED|s__Lactonifactor_sp_BIOML_A6.t__SGB48013	536.3976159055
UNGROUPED|s__Lawsonibacter_asaccharolyticus.t__SGB15154	251.9926869356
UNGROUPED|s__Limosilactobacillus_mucosae.t__SGB7088_group	1452.1786514306
UNGROUPED|s__Mediterraneibacter_glycyrrhizinilyticus.t__SGB4606	5627.1527010428
UNGROUPED|s__Merdimonas_faecis.t__SGB4626	3819.3689123878
UNGROUPED|s__Mogibacterium_sp_BX12.t__SGB14854	2035.6636791754
UNGROUPED|s__Odoribacter_splanchnicus.t__SGB1790	421.7067333157
UNGROUPED|s__Parabacteroides_SGB1950.t__SGB1950	938.7602734802
UNGROUPED|s__Parabacteroides_distasonis.t__SGB1934	3159.6836741389
UNGROUPED|s__Parabacteroides_faecis.t__SGB1940	2740.3392051747
UNGROUPED|s__Parabacteroides_goldsteinii.t__SGB1941	1172.2243709937
UNGROUPED|s__Paraprevotella_clara.t__SGB1798	4606.2579528093
UNGROUPED|s__Parasutterella_excrementihominis.t__SGB9262	1207.8014252977
UNGROUPED|s__Phocaeicola_coprocola.t__SGB1891	21208.0821033609
UNGROUPED|s__Phocaeicola_plebeius.t__SGB1903	12241.7801216115
UNGROUPED|s__Phocaeicola_vulgatus.t__SGB1814	18042.0702102988
UNGROUPED|s__Romboutsia_timonensis.t__SGB6148	335.0474110378
UNGROUPED|s__Roseburia_hominis.t__SGB4936	1806.0608540878
UNGROUPED|s__Roseburia_inulinivorans.t__SGB4940	16994.8859435145
UNGROUPED|s__Roseburia_sp_AM16_25.t__SGB4957	580.1356988336
UNGROUPED|s__Ruminococcus_SGB4421.t__SGB4421	10403.1389502188
UNGROUPED|s__Ruminococcus_bromii.t__SGB4285	133354.85824563671
UNGROUPED|s__Ruminococcus_gnavus.t__SGB4584	7295.2677953768
UNGROUPED|s__Ruminococcus_sp_AF13_28.t__SGB4834	24093.8796953695
UNGROUPED|s__Ruminococcus_torques.t__SGB4563	6112.7151727396
UNGROUPED|s__Ruminococcus_torques.t__SGB4608	2942.6226289175
UNGROUPED|s__Ruthenibacterium_lactatiformans.t__SGB15271	43052.6781233675
UNGROUPED|s__Sellimonas_intestinalis.t__SGB4617	2196.5218600642
UNGROUPED|s__Streptococcus_parasanguinis.t__SGB8071	144.8052175202
UNGROUPED|s__Streptococcus_salivarius.t__SGB8007_group	368.3458022489
UNGROUPED|s__Weissella_confusa.t__SGB7115	851.1659259311
UNGROUPED|unclassified	13432.4301303141
K00001	1.011563735
K00001|s__Bifidobacterium_bifidum.t__SGB17256	0.4940108319
K00001|s__Eggerthella_lenta.t__SGB14809	0.5175529031
K00002	3.514446822
K00002|s__Blautia_caecimuris.t__SGB4862	0.0420271564
K00002|s__Blautia_massiliensis.t__SGB4826	2.7037635052
K00002|s__Blautia_obeum.t__SGB4810	0.1120724171
K00002|s__Blautia_obeum.t__SGB4811	0.4763077727
K00002|s__Ruminococcus_sp_AF13_28.t__SGB4834	0.1802759705
K00003	23.5541327056
K00003|s__Alistipes_finegoldii.t__SGB2301	0.4271772493
K00003|s__Alistipes_shahii.t__SGB2295	0.6876726509
K00003|s__Anaerostipes_hadrus.t__SGB4540_group	2.2156337707
K00003|s__Anaerostipes_hadrus.t__SGB4547	1.0500633984
K00003|s__Bifidobacterium_breve.t__SGB17247	13.6071314729
K00003|s__Bifidobacterium_longum.t__SGB17248	1.9847996284
K00003|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	2.4554222207
K00003|s__Eggerthella_lenta.t__SGB14809	0.0736987227
K00003|s__Gordonibacter_pamelaeae.t__SGB14807	0.9370266178
K00003|s__Streptococcus_parasanguinis.t__SGB8071	0.1155069738
K00005	8.246482481300001
K00005|s__Anaerobutyricum_hallii.t__SGB4532	5.7545023326
K00005|s__Enterobacter_hormaechei.t__SGB10130	0.2627687445
K00005|s__Escherichia_coli.t__SGB10068	1.3513821143
K00005|s__Flavonifractor_plautii.t__SGB15132	0.0865026374
K00005|s__Limosilactobacillus_mucosae.t__SGB7088_group	0.4462551588
K00005|s__Streptococcus_parasanguinis.t__SGB8071	0.025344054
K00005|s__Streptococcus_salivarius.t__SGB8007_group	0.2534405403
K00005|unclassified	0.0662868994
K00008	2.0029393797
K00008|s__Anaerostipes_hadrus.t__SGB4540_group	0.1856782471
K00008|s__Blautia_producta.t__SGB4786	0.0374208397
K00008|s__Dorea_formicigenerans.t__SGB4575	0.2744194911
K00008|s__Enterocloster_bolteae.t__SGB4758	0.0623680661
K00008|s__Flavonifractor_plautii.t__SGB15132	0.2435956812
K00008|s__Ruminococcus_torques.t__SGB4563	0.3742083969
K00008|unclassified	0.8252486576
K00009	3.6793111932
K00009|s__Alistipes_finegoldii.t__SGB2301	0.2526368176
K00009|s__Anaerostipes_hadrus.t__SGB4540_group	1.5072807106
K00009|s__Anaerostipes_hadrus.t__SGB4547	0.5667375472
K00009|s__Enterobacter_hormaechei.t__SGB10130	0.1314469362
K00009|s__Escherichia_coli.t__SGB10068	1.1232738186
K00009|unclassified	0.0979353631
K00010	2.7210714535
K00010|s__Alistipes_shahii.t__SGB2295	0.4181053789
K00010|s__Anaerostipes_hadrus.t__SGB4540_group	1.2527933803
K00010|s__Bifidobacterium_bifidum.t__SGB17256	0.9265462488
K00010|unclassified	0.1236264454
K00012	6.3171078713
K00012|s__Alistipes_finegoldii.t__SGB2301	0.3179754212
K00012|s__Alistipes_shahii.t__SGB2295	0.5217772219
K00012|s__Bacteroides_fragilis.t__SGB1855	0.7487808306
K00012|s__Bacteroides_thetaiotaomicron.t__SGB1861	0.3580824072
K00012|s__Barnesiella_intestinihominis.t__SGB1965	0.4275028125
K00012|s__Bifidobacterium_bifidum.t__SGB17256	1.1848452648
K00012|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0.3707030384
K00012|s__Butyricimonas_virosa.t__SGB1784	0.0806137065
K00012|s__Clostridium_scindens.t__SGB4630	0.0230023512
K00012|s__Emergencia_timonensis.t__SGB3970	0.2992972911
K00012|s__Escherichia_coli.t__SGB10068	0.5634446275
K00012|s__Faecalibacterium_prausnitzii.t__SGB15316	0.5875197899
K00012|s__Gordonibacter_pamelaeae.t__SGB14807	0.2705597315
K00012|s__Hungatella_hathewayi.t__SGB4741	0.0345035269
K00012|s__Hungatella_hathewayi.t__SGB4742	0.0230023512
K00012|s__Odoribacter_splanchnicus.t__SGB1790	0.205145433
