# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210376
UNGROUPED	20519287.212296356
UNGROUPED|s__Actinomyces_SGB17168.t__SGB17168	1016.8557375734
UNGROUPED|s__Actinomyces_graevenitzii.t__SGB17130_group	145.4868757785
UNGROUPED|s__Actinomyces_sp_ph3.t__SGB17137_group	227.7327884381
UNGROUPED|s__Adlercreutzia_equolifaciens.t__SGB14798	616.4063975782
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	6964.9331162656
UNGROUPED|s__Amedibacillus_dolichus.t__SGB4035	1142.885664957
UNGROUPED|s__Amedibacterium_intestinale.t__SGB4042	12726.7999112269
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	18957.4132532165
UNGROUPED|s__Anaerobutyricum_soehngenii.t__SGB4537	5444.0052492998
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	16995.2115304321
UNGROUPED|s__Bacteroides_fragilis.t__SGB1853	840.0290626175
UNGROUPED|s__Bacteroides_fragilis.t__SGB1855	1731.2027105213
UNGROUPED|s__Bacteroides_thetaiotaomicron.t__SGB1861	1997.9152468697
UNGROUPED|s__Bacteroides_xylanisolvens.t__SGB1867	4547.366476836
UNGROUPED|s__Bifidobacterium_bifidum.t__SGB17256	36599.4278255803
UNGROUPED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	73904.9420667859
UNGROUPED|s__Blautia_SGB4815.t__SGB4815	6021.4986028557
UNGROUPED|s__Blautia_faecis.t__SGB4820	11654.9285758121
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	13635.6080934905
UNGROUPED|s__Blautia_obeum.t__SGB4810	5843.6047392588
UNGROUPED|s__Blautia_obeum.t__SGB4811	4955.3962279046
UNGROUPED|s__Blautia_producta.t__SGB4786	4492.6072364829
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	39533.8496469754
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	46903.7439029183
UNGROUPED|s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1.t__SGB19882	68.5595940454
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4269	9827.6127316528
UNGROUPED|s__Clostridiaceae_unclassified_SGB4771.t__SGB4771	637.6616029475
UNGROUPED|s__Clostridiales_bacterium.t__SGB15159	834.4302626763
UNGROUPED|s__Clostridiales_bacterium_KLE1615.t__SGB5090	8741.678010989
UNGROUPED|s__Clostridium_SGB4751.t__SGB4751	4155.2096593244
UNGROUPED|s__Clostridium_SGB6177.t__SGB6177	4836.2776145928
UNGROUPED|s__Clostridium_butyricum.t__SGB4037	823.7957134013
UNGROUPED|s__Clostridium_disporicum.t__SGB6172	497.3811546328
UNGROUPED|s__Clostridium_fessum.t__SGB4705	8406.5342644784
UNGROUPED|s__Clostridium_perfringens.t__SGB6191	3923.2336018371
UNGROUPED|s__Clostridium_saudiense.t__SGB6178	855.19564315
UNGROUPED|s__Clostridium_scindens.t__SGB4630	859.2042315384
UNGROUPED|s__Clostridium_scindens.t__SGB4631	6022.500804542
UNGROUPED|s__Clostridium_sp_AF27_2AA.t__SGB4712	6729.1908154868
UNGROUPED|s__Clostridium_sp_AM22_11AC.t__SGB4749	3426.40595998
UNGROUPED|s__Clostridium_sp_AT4.t__SGB4753	511.0866565936
UNGROUPED|s__Clostridium_symbiosum.t__SGB4699	2407.1913644526
UNGROUPED|s__Coprobacillus_sp_AF33_1AC.t__SGB6765	1634.7964307744
UNGROUPED|s__Dialister_hominis.t__SGB5803_group	6068.7886490127
UNGROUPED|s__Dialister_invisus.t__SGB5825_group	234.4920023891
UNGROUPED|s__Dorea_formicigenerans.t__SGB4575	13992.3986248348
UNGROUPED|s__Eggerthella_lenta.t__SGB14809	4048.8193853092
UNGROUPED|s__Enterocloster_aldenensis.t__SGB4762	748.5066666292
UNGROUPED|s__Enterocloster_clostridioformis.t__SGB4760	2644.5548518142
UNGROUPED|s__Escherichia_coli.t__SGB10068	4103.7388250448
UNGROUPED|s__Eubacteriaceae_bacterium.t__SGB4546	6875.32598745
UNGROUPED|s__Eubacterium_rectale.t__SGB4933	7288.6238428057
UNGROUPED|s__Eubacterium_sp_AF34_35BH.t__SGB5051	5496.8652549976005
UNGROUPED|s__Eubacterium_sulci.t__SGB3934_group	57.3872773158
UNGROUPED|s__Faecalibacillus_intestinalis.t__SGB6754	27093.3399373635
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15316	14121.7575483558
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15318	84540.1456091527
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15342	65087.1358597894
UNGROUPED|s__Firmicutes_bacterium_AF16_15.t__SGB4993	1745.4550975934
UNGROUPED|s__Flavonifractor_plautii.t__SGB15132	2375.4285524257
UNGROUPED|s__Fusicatenibacter_saccharivorans.t__SGB4874	27683.7792527153
UNGROUPED|s__GGB3109_SGB4119.t__SGB4119	5850.4792321956
UNGROUPED|s__GGB3256_SGB4303.t__SGB4303	712.4620058254
UNGROUPED|s__GGB3363_SGB4448.t__SGB4448	4414.3714130491
UNGROUPED|s__GGB3606_SGB4870.t__SGB4870	4604.0732931393
UNGROUPED|s__GGB3746_SGB5089.t__SGB5089	2510.6460123185
UNGROUPED|s__GGB4456_SGB6141.t__SGB6141	3831.5660069326
UNGROUPED|s__GGB9527_SGB14927.t__SGB14927	163.1303189463
UNGROUPED|s__GGB9715_SGB15265.t__SGB15265	1478.8556755171
UNGROUPED|s__Holdemania_filiformis.t__SGB4046	1585.9893607093
UNGROUPED|s__Intestinibacter_bartlettii.t__SGB6140	1066.5221098139
UNGROUPED|s__Lachnospiraceae_bacterium.t__SGB4781	1301.8792399282
UNGROUPED|s__Lacrimispora_amygdalina.t__SGB4716	2049.4538932192
UNGROUPED|s__Limosilactobacillus_fermentum.t__SGB7106	107.8573568244
UNGROUPED|s__Longibaculum_muris.t__SGB6769	1578.9916064202
UNGROUPED|s__Mediterraneibacter_glycyrrhizinilyticus.t__SGB4606	1254.0073037516
UNGROUPED|s__Mesosutterella_multiformis.t__SGB9272	103.9116204024
UNGROUPED|s__Parabacteroides_distasonis.t__SGB1934	616.6967404666
UNGROUPED|s__Parasutterella_SGB9260.t__SGB9260	5509.4658770959
UNGROUPED|s__Phocaeicola_coprocola.t__SGB1891	12406.048733898
UNGROUPED|s__Phocaeicola_vulgatus.t__SGB1814	7130.9704561288
UNGROUPED|s__Romboutsia_timonensis.t__SGB6148	2319.3332524818
UNGROUPED|s__Roseburia_faecis.t__SGB4925	31052.323786949
UNGROUPED|s__Roseburia_inulinivorans.t__SGB4940	3376.7753587446
UNGROUPED|s__Ruminococcus_gnavus.t__SGB4584	4088.8496712661
UNGROUPED|s__Ruminococcus_sp_AF13_28.t__SGB4834	20614.7116805751
