# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210369
UNGROUPED	33578336.55697969
UNGROUPED|s__Acidaminococcus_provencensis.t__SGB5740	908.8746514268
UNGROUPED|s__Actinomyces_SGB17154.t__SGB17154	246.7087541512
UNGROUPED|s__Adlercreutzia_equolifaciens.t__SGB14798	5432.0834856445
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	3370.5335115678
UNGROUPED|s__Alistipes_communis.t__SGB2290	332.0084508103
UNGROUPED|s__Alistipes_finegoldii.t__SGB2301	521.989477474
UNGROUPED|s__Alistipes_indistinctus.t__SGB2325	237.6141201928
UNGROUPED|s__Alistipes_onderdonkii.t__SGB2303	2313.3131181234
UNGROUPED|s__Alistipes_putredinis.t__SGB2318	14491.2996838625
UNGROUPED|s__Alistipes_senegalensis.t__SGB2296	2753.9721137279
UNGROUPED|s__Alistipes_shahii.t__SGB2295	947.0192297535
UNGROUPED|s__Alistipes_sp_AF17_16.t__SGB2326	498.2638272523
UNGROUPED|s__Allisonella_histaminiformans.t__SGB5843	504.9685623706
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	6109.389319095
UNGROUPED|s__Anaerobutyricum_soehngenii.t__SGB4537	3105.2153112913
UNGROUPED|s__Anaerosacchariphilus_sp_NSJ_68.t__SGB4772	1089.4953435042
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	11711.8629400108
UNGROUPED|s__Anaerotignum_faecicola.t__SGB5190	293.2511929166
UNGROUPED|s__Bacteroides_fragilis.t__SGB1853	11079.7362822262
UNGROUPED|s__Bacteroides_intestinalis.t__SGB1845	10156.8838747436
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	14776.6055549878
UNGROUPED|s__Bacteroides_salyersiae.t__SGB1857	10818.520308461
UNGROUPED|s__Bacteroides_stercoris.t__SGB1830	53447.2705198095
UNGROUPED|s__Bacteroides_thetaiotaomicron.t__SGB1861	9790.5871637001
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	24598.2662556614
UNGROUPED|s__Bacteroides_xylanisolvens.t__SGB1867	19260.9185652042
UNGROUPED|s__Barnesiella_intestinihominis.t__SGB1965	1751.649642535
UNGROUPED|s__Bifidobacterium_adolescentis.t__SGB17244_group	23511.4546614784
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	26356.2738990689
UNGROUPED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	16225.8337710146
UNGROUPED|s__Bilophila_wadsworthia.t__SGB15452	3184.1128477056
UNGROUPED|s__Blautia_SGB4815.t__SGB4815	2037.3661194913
UNGROUPED|s__Blautia_faecicola.t__SGB4867	1053.8270318746
UNGROUPED|s__Blautia_faecis.t__SGB4820	3746.8408695416
UNGROUPED|s__Blautia_glucerasea.t__SGB4816	1292.2754205464
UNGROUPED|s__Blautia_luti.t__SGB4832	6303.3144036848
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	5445.6480374881
UNGROUPED|s__Blautia_obeum.t__SGB4810	1199.2925760231
UNGROUPED|s__Blautia_obeum.t__SGB4811	2609.0831445522
UNGROUPED|s__Blautia_sp_Marseille_P3087.t__SGB4813	3451.5544497725
UNGROUPED|s__Blautia_stercoris.t__SGB4788	1743.9155576949
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	8998.6967486903
UNGROUPED|s__Butyricicoccus_sp_AM29_23AC.t__SGB14991	1244.5654878481
UNGROUPED|s__Butyricimonas_virosa.t__SGB1784	252.8703453425
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	15864.4255978571
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4269	5650.2864481545
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4770	1545.7938222196
UNGROUPED|s__Clostridiaceae_bacterium_AF18_31LB.t__SGB4767	3335.0154038462
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q4143.t__SGB4768	2659.5957772018
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q4145.t__SGB4769	656.9885613306
UNGROUPED|s__Clostridiaceae_unclassified_SGB4771.t__SGB4771	956.6553825709
UNGROUPED|s__Clostridiales_Family_XIII_bacterium_BX16.t__SGB3957	327.7710221197
UNGROUPED|s__Clostridiales_bacterium_KLE1615.t__SGB5090	2144.346302108
UNGROUPED|s__Clostridium_SGB4750.t__SGB4750	1083.1516776593
UNGROUPED|s__Clostridium_SGB4751.t__SGB4751	796.0783520315
UNGROUPED|s__Clostridium_SGB48024.t__SGB48024	2639.4976215301
UNGROUPED|s__Clostridium_fessum.t__SGB4705	3248.3732074135
UNGROUPED|s__Clostridium_leptum.t__SGB14853	418.142679021
UNGROUPED|s__Clostridium_sp_AF20_17LB.t__SGB4714	1680.7729484179001
UNGROUPED|s__Clostridium_sp_AF34_10BH.t__SGB4914	800.7577520957
UNGROUPED|s__Clostridium_sp_AF34_13.t__SGB4659	842.9412241061
UNGROUPED|s__Clostridium_sp_AF36_4.t__SGB4644	996.4952791066
UNGROUPED|s__Clostridium_sp_AM22_11AC.t__SGB4749	5397.9834583677
UNGROUPED|s__Clostridium_sp_AM33_3.t__SGB4711	2079.0190997006
UNGROUPED|s__Collinsella_aerofaciens.t__SGB14535_group	14094.6467482921
UNGROUPED|s__Coprococcus_SGB4669.t__SGB4669	1047.9952104766
UNGROUPED|s__Coprococcus_catus.t__SGB4670	710.3039205888
UNGROUPED|s__Coprococcus_comes.t__SGB4577	4745.3558893031
UNGROUPED|s__Dialister_hominis.t__SGB5803_group	11083.9710360765
UNGROUPED|s__Dorea_formicigenerans.t__SGB4575	3822.1403382624
UNGROUPED|s__Dorea_longicatena.t__SGB4581	2737.7424064783
UNGROUPED|s__Dorea_longicatena.t__SGB4582	2825.5039471358
UNGROUPED|s__Dorea_sp_AF24_7LB.t__SGB4571	4036.6551686048
UNGROUPED|s__Dorea_sp_AF36_15AT.t__SGB4552	885.7878335912
UNGROUPED|s__Dysosmobacter_sp_BX15.t__SGB15053	1013.6406311226
UNGROUPED|s__Dysosmobacter_welbionis.t__SGB15078	705.4332224892
UNGROUPED|s__Eggerthella_lenta.t__SGB14809	2289.8323234742
UNGROUPED|s__Escherichia_coli.t__SGB10068	18943.7340668154
UNGROUPED|s__Eubacteriaceae_bacterium.t__SGB3958	323.6409952241
UNGROUPED|s__Eubacteriaceae_bacterium.t__SGB5043	6490.7273756465
UNGROUPED|s__Eubacterium_ramulus.t__SGB4959	2072.3498356265
UNGROUPED|s__Eubacterium_ramulus.t__SGB4960	7402.3316312674
UNGROUPED|s__Eubacterium_rectale.t__SGB4933	15099.0326675437
UNGROUPED|s__Eubacterium_ventriosum.t__SGB5045	8595.2683066619
UNGROUPED|s__Faecalibacillus_intestinalis.t__SGB6754	7443.1361499661
