# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210365
UNGROUPED	19975157.744527385
UNGROUPED|s__Adlercreutzia_equolifaciens.t__SGB14798	400.9587777384
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	1172.160904941
UNGROUPED|s__Alistipes_communis.t__SGB2290	1630.5309560715
UNGROUPED|s__Alistipes_finegoldii.t__SGB2301	542.4785120371
UNGROUPED|s__Alistipes_ihumii.t__SGB2328	230.4231209915
UNGROUPED|s__Alistipes_onderdonkii.t__SGB2303	1013.9953542291
UNGROUPED|s__Alistipes_putredinis.t__SGB2318	14640.4965070158
UNGROUPED|s__Alistipes_shahii.t__SGB2295	2357.8688793257
UNGROUPED|s__Alistipes_sp_AF17_16.t__SGB2326	290.6065731047
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	9035.9521431041
UNGROUPED|s__Anaerosacchariphilus_sp_NSJ_68.t__SGB4772	1561.8007027323
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	3004.0342098186
UNGROUPED|s__Anaerotignum_faecicola.t__SGB5190	813.7412622573
UNGROUPED|s__Bacteroides_caccae.t__SGB1877	3264.2046003434
UNGROUPED|s__Bacteroides_cellulosilyticus.t__SGB1844	1397.4990173938
UNGROUPED|s__Bacteroides_faecis.t__SGB1860	8364.3618691521
UNGROUPED|s__Bacteroides_finegoldii.t__SGB1862	5760.0270133014
UNGROUPED|s__Bacteroides_fragilis.t__SGB1855	1730.5014689266
UNGROUPED|s__Bacteroides_intestinalis.t__SGB1845	5880.119401703
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	4612.8312060082
UNGROUPED|s__Bacteroides_stercoris.t__SGB1830	12057.7615775098
UNGROUPED|s__Bacteroides_thetaiotaomicron.t__SGB1861	1866.4665564708
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	33527.2439629896
UNGROUPED|s__Bacteroides_xylanisolvens.t__SGB1867	4371.2264475703
UNGROUPED|s__Barnesiella_intestinihominis.t__SGB1965	1813.4932838828
UNGROUPED|s__Bifidobacterium_bifidum.t__SGB17256	4841.7252922658
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	9686.5804456272
UNGROUPED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	13719.2186943489
UNGROUPED|s__Bilophila_wadsworthia.t__SGB15452	1576.4672000056
UNGROUPED|s__Blautia_SGB4815.t__SGB4815	2736.6558930809
UNGROUPED|s__Blautia_faecicola.t__SGB4867	1284.073358266
UNGROUPED|s__Blautia_faecis.t__SGB4820	7088.0709796098
UNGROUPED|s__Blautia_glucerasea.t__SGB4816	3341.0313021191
UNGROUPED|s__Blautia_luti.t__SGB4832	5818.1344149273
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	6048.8493034948
UNGROUPED|s__Blautia_obeum.t__SGB4810	2211.2800238497002
UNGROUPED|s__Blautia_obeum.t__SGB4811	4361.7921901966
UNGROUPED|s__Blautia_sp_MSK_20_85.t__SGB4828	1858.2298135455
UNGROUPED|s__Blautia_sp_Marseille_P3087.t__SGB4813	5053.6186691724
UNGROUPED|s__Blautia_sp_OF03_15BH.t__SGB4779	1928.8001238272
UNGROUPED|s__Blautia_stercoris.t__SGB4788	1266.3881422156
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	17337.7540914123
UNGROUPED|s__Butyricicoccus_SGB14990.t__SGB14990	2556.6076689388
UNGROUPED|s__Butyricicoccus_sp_AM29_23AC.t__SGB14991	2052.1388872121
UNGROUPED|s__Butyricimonas_faecihominis.t__SGB1786	395.8446747185
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	119379.5925387522
UNGROUPED|s__Citrobacter_freundii.t__SGB10084	594.9323406013
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4269	2311.5458196258
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4721	478.8230147053
UNGROUPED|s__Clostridiaceae_bacterium_AF18_31LB.t__SGB4767	3842.1375341368
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q3526.t__SGB4703	354.8226242168
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q4143.t__SGB4768	5053.8986670678
UNGROUPED|s__Clostridiaceae_unclassified_SGB4771.t__SGB4771	964.325747316
UNGROUPED|s__Clostridiales_Family_XIII_bacterium_BX16.t__SGB3957	407.1095710061
UNGROUPED|s__Clostridiales_bacterium_KLE1615.t__SGB5090	2593.684801963
UNGROUPED|s__Clostridium_SGB4750.t__SGB4750	1720.1070072881
UNGROUPED|s__Clostridium_SGB6179.t__SGB6179	144.197370685
UNGROUPED|s__Clostridium_fessum.t__SGB4705	4347.3649724376
UNGROUPED|s__Clostridium_leptum.t__SGB14853	4927.1646467984
UNGROUPED|s__Clostridium_sp_1001270H_150608_G6.t__SGB5111	461.8086669811
UNGROUPED|s__Clostridium_sp_AF34_10BH.t__SGB4914	2451.2779225622
UNGROUPED|s__Clostridium_sp_AM22_11AC.t__SGB4749	1322.7747855298
UNGROUPED|s__Clostridium_sp_AM49_4BH.t__SGB4652	496.429871794
UNGROUPED|s__Clostridium_sp_AT4.t__SGB4753	291.2991812233
UNGROUPED|s__Clostridium_spiroforme.t__SGB6747	1844.0612911347
UNGROUPED|s__Collinsella_aerofaciens.t__SGB14535_group	13399.474512637
UNGROUPED|s__Coprobacter_fastidiosus.t__SGB1963	727.7134261763
UNGROUPED|s__Coprococcus_catus.t__SGB4670	1118.8732269381
UNGROUPED|s__Coprococcus_comes.t__SGB4577	3445.5310218071
UNGROUPED|s__Coprococcus_eutactus.t__SGB5117	1709.4737612049
UNGROUPED|s__Dialister_hominis.t__SGB5803_group	194.4954086717
UNGROUPED|s__Dorea_formicigenerans.t__SGB4575	3977.7029845333
UNGROUPED|s__Dorea_longicatena.t__SGB4581	3778.7707689542
UNGROUPED|s__Dorea_longicatena.t__SGB4582	1994.505113541
UNGROUPED|s__Dorea_sp_AF24_7LB.t__SGB4571	4358.143738361
UNGROUPED|s__Dorea_sp_AF36_15AT.t__SGB4552	1193.9031686595
UNGROUPED|s__Dysosmobacter_sp_BX15.t__SGB15053	1817.8425848179
UNGROUPED|s__Dysosmobacter_welbionis.t__SGB15078	338.7882212317
UNGROUPED|s__Enterobacter_hormaechei.t__SGB10130	1220.5786736675
UNGROUPED|s__Escherichia_coli.t__SGB10068	1893.0556507812
UNGROUPED|s__Eubacteriaceae_bacterium.t__SGB5043	7977.6363177205
UNGROUPED|s__Eubacterium_ramulus.t__SGB4959	1709.0660977797
UNGROUPED|s__Eubacterium_ramulus.t__SGB4960	6546.8685567035
UNGROUPED|s__Eubacterium_rectale.t__SGB4933	37216.7264672294
UNGROUPED|s__Eubacterium_sp_AF34_35BH.t__SGB5051	8728.8784324163
UNGROUPED|s__Evtepia_gabavorous.t__SGB15120	1560.9327788678
UNGROUPED|s__Faecalibacillus_intestinalis.t__SGB6754	4478.9705542969
UNGROUPED|s__Faecalibacterium_SGB15346.t__SGB15346	12900.3969714096
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15316	28310.6964961828
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15318	33256.2754914922
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15342	17449.1682749883
UNGROUPED|s__Firmicutes_bacterium_AF16_15.t__SGB4993	3378.8089621892
UNGROUPED|s__Flavonifractor_plautii.t__SGB15132	1363.9141201098
UNGROUPED|s__Fusicatenibacter_saccharivorans.t__SGB4874	8248.6883311924
UNGROUPED|s__GGB2980_SGB3962.t__SGB3962	263.5706988019
UNGROUPED|s__GGB2982_SGB3964.t__SGB3964	347.498353425
UNGROUPED|s__GGB3256_SGB4303.t__SGB4303	18102.6594860714
UNGROUPED|s__GGB3363_SGB4447.t__SGB4447	318.6782050691
UNGROUPED|s__GGB3524_SGB4704.t__SGB4704	1761.2531269894
UNGROUPED|s__GGB3819_SGB5184.t__SGB5184	374.6534218266
UNGROUPED|s__GGB4456_SGB6141.t__SGB6141	1003.0240936887
UNGROUPED|s__GGB4552_SGB6276.t__SGB6276	683.9920052044
UNGROUPED|s__GGB4605_SGB6376.t__SGB6376	5259.948333186
UNGROUPED|s__GGB51441_SGB71759.t__SGB71759	997.1903337497
UNGROUPED|s__GGB9365_SGB14341.t__SGB14341	148.8432708357
UNGROUPED|s__GGB9581_SGB14999.t__SGB14999	3043.2106247342
UNGROUPED|s__GGB9616_SGB15051.t__SGB15051	4023.7497965825
UNGROUPED|s__GGB9699_SGB15216.t__SGB15216	573.8750729976
UNGROUPED|s__GGB9708_SGB15234.t__SGB15234	1299.8880810784
UNGROUPED|s__GGB9713_SGB15249.t__SGB15249	1293.2198706356
UNGROUPED|s__GGB9715_SGB15260.t__SGB15260	1090.9491733772
UNGROUPED|s__GGB9715_SGB15265.t__SGB15265	1111.0049755201
UNGROUPED|s__GGB9730_SGB15291.t__SGB15291	7291.4417256838
UNGROUPED|s__GGB9760_SGB15374.t__SGB15374	3809.720901201
UNGROUPED|s__GGB9790_SGB15413.t__SGB15413	259.9934105892
UNGROUPED|s__GGB9813_SGB15447.t__SGB15447	4602.0652612448
UNGROUPED|s__Gemmiger_formicilis.t__SGB15300	33108.3746363305
UNGROUPED|s__Gordonibacter_pamelaeae.t__SGB14807	609.0134914454
UNGROUPED|s__Holdemania_massiliensis.t__SGB4044	3777.4794536282
UNGROUPED|s__Intestinibacter_bartlettii.t__SGB6140	620.1082792989
UNGROUPED|s__Klebsiella_pneumoniae.t__SGB10115	3483.1403726521
UNGROUPED|s__Lachnospira_pectinoschiza.t__SGB5075	640.6541227722
UNGROUPED|s__Lachnospiraceae_bacterium.t__SGB4781	526.7215219316
UNGROUPED|s__Lachnospiraceae_bacterium.t__SGB4782	885.4761746779
UNGROUPED|s__Lachnospiraceae_bacterium_AM48_27BH.t__SGB4706	1807.0426103543
UNGROUPED|s__Lachnospiraceae_bacterium_Marseille_Q4251.t__SGB4780	1142.1332581993
UNGROUPED|s__Lacrimispora_amygdalina.t__SGB4716	823.3505642456
UNGROUPED|s__Lacrimispora_celerecrescens.t__SGB4868	2087.3174575642
UNGROUPED|s__Mediterraneibacter_butyricigenes.t__SGB25493	2027.2659098147
UNGROUPED|s__Megamonas_funiformis.t__SGB6962	4087.7981796115
UNGROUPED|s__Megasphaera_sp_NM10.t__SGB5858	197.7194122474
UNGROUPED|s__Odoribacter_splanchnicus.t__SGB1790	1064.5103462114
UNGROUPED|s__Oscillibacter_sp_ER4.t__SGB15254	7952.7516159306
UNGROUPED|s__Oscillospiraceae_bacterium_Marseille_Q3528.t__SGB4778	850.7031549471
UNGROUPED|s__Oxalobacter_formigenes.t__SGB9387	440.037732055
UNGROUPED|s__Parabacteroides_distasonis.t__SGB1934	4354.8730293586
UNGROUPED|s__Parabacteroides_merdae.t__SGB1949	6578.5583686835
UNGROUPED|s__Paraprevotella_clara.t__SGB1798	2276.1422976286
UNGROUPED|s__Parasutterella_SGB9260.t__SGB9260	1108.7321750005
UNGROUPED|s__Parasutterella_excrementihominis.t__SGB9262	398.973563668
UNGROUPED|s__Phascolarctobacterium_faecium.t__SGB5792	1819.5619862725
UNGROUPED|s__Phocaeicola_dorei.t__SGB1815	8517.4875437316
UNGROUPED|s__Phocaeicola_plebeius.t__SGB1899	27305.6594506138
UNGROUPED|s__Phocaeicola_vulgatus.t__SGB1814	7134.7117343675
UNGROUPED|s__Roseburia_faecis.t__SGB4925	35596.8022806598
UNGROUPED|s__Roseburia_hominis.t__SGB4936	1406.8181176301
UNGROUPED|s__Roseburia_intestinalis.t__SGB4951	7529.8347317859
UNGROUPED|s__Roseburia_inulinivorans.t__SGB4940	13027.5597623224
UNGROUPED|s__Roseburia_sp_AF02_12.t__SGB4938	1416.7435218425
UNGROUPED|s__Ruminococcus_SGB4421.t__SGB4421	3308.3531746304
UNGROUPED|s__Ruminococcus_bicirculans.t__SGB4262	822.216587639
UNGROUPED|s__Ruminococcus_bromii.t__SGB4285	82866.903785184
UNGROUPED|s__Ruminococcus_lactaris.t__SGB4557	903.2413629229
UNGROUPED|s__Ruminococcus_sp_AF13_28.t__SGB4834	9458.3004578879
UNGROUPED|s__Ruminococcus_torques.t__SGB4563	4717.8304547512
UNGROUPED|s__Ruminococcus_torques.t__SGB4608	1021.3147591451
UNGROUPED|s__Ruthenibacterium_lactatiformans.t__SGB15271	593.2655516898
UNGROUPED|s__Senegalimassilia_anaerobia.t__SGB14824_group	760.0493430317
UNGROUPED|s__Streptococcus_rubneri.t__SGB8056	360.8372155609
UNGROUPED|s__Streptococcus_salivarius.t__SGB8007_group	1788.2121089777
UNGROUPED|s__Vescimonas_coprocola.t__SGB15089	2626.5430027557
UNGROUPED|s__Weissella_confusa.t__SGB7115	404.5233450864
UNGROUPED|unclassified	14312.3823303028
K00001	1.8335923555
K00001|s__Bifidobacterium_bifidum.t__SGB17256	1.6815129787
K00001|s__Megasphaera_sp_NM10.t__SGB5858	0.1520793768
K00002	4.8861419614
K00002|s__Blautia_SGB4815.t__SGB4815	0.3220560921
