# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210350
UNGROUPED	18911899.676080372
UNGROUPED|s__Actinomyces_SGB17154.t__SGB17154	966.2990793659
UNGROUPED|s__Actinomyces_graevenitzii.t__SGB17130_group	543.2041160596
UNGROUPED|s__Adlercreutzia_equolifaciens.t__SGB14798	6463.2758012164
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	5816.0090813974
UNGROUPED|s__Alistipes_communis.t__SGB2290	714.9196045319
UNGROUPED|s__Alistipes_onderdonkii.t__SGB2303	827.6341966648
UNGROUPED|s__Alistipes_putredinis.t__SGB2318	7823.6383487935
UNGROUPED|s__Alistipes_senegalensis.t__SGB2296	2573.116754841
UNGROUPED|s__Alistipes_shahii.t__SGB2295	2021.2988928736
UNGROUPED|s__Alistipes_sp_AF17_16.t__SGB2326	318.8948287075
UNGROUPED|s__Anaerobutyricum_soehngenii.t__SGB4537	10478.7869734526
UNGROUPED|s__Anaeromassilibacillus_sp_An250.t__SGB14894	1953.0065290673
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	8940.4446375988
UNGROUPED|s__Anaerotignum_faecicola.t__SGB5190	475.0531429179
UNGROUPED|s__Bacteroides_caccae.t__SGB1877	5598.8465246321
UNGROUPED|s__Bacteroides_finegoldii.t__SGB1862	16683.9596503255
UNGROUPED|s__Bacteroides_fragilis.t__SGB1855	3428.2461415631
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	6430.1666611561
UNGROUPED|s__Bacteroides_stercoris.t__SGB1830	21472.4252553407
UNGROUPED|s__Bacteroides_thetaiotaomicron.t__SGB1861	4148.8981291588
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	49256.6953176822
UNGROUPED|s__Barnesiella_intestinihominis.t__SGB1965	2364.1367062836002
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	23883.9109841223
UNGROUPED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	44994.7053382551
UNGROUPED|s__Bilophila_wadsworthia.t__SGB15452	360.5189478882
UNGROUPED|s__Blautia_caecimuris.t__SGB4862	3307.1380625892
UNGROUPED|s__Blautia_faecis.t__SGB4820	39798.7271041569
UNGROUPED|s__Blautia_glucerasea.t__SGB4816	6226.4343523239
UNGROUPED|s__Blautia_hydrogenotrophica.t__SGB4677	3369.888729071
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	12539.1704866706
UNGROUPED|s__Blautia_obeum.t__SGB4811	5066.3681661758
UNGROUPED|s__Blautia_sp_An249.t__SGB7262	398.3985944001
UNGROUPED|s__Blautia_sp_Marseille_P3087.t__SGB4813	12871.0510222941
UNGROUPED|s__Blautia_wexlerae.t__SGB4831	2875.5574746727
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	17146.529421244
UNGROUPED|s__Butyricimonas_faecihominis.t__SGB1786	470.946719873
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	10790.828969133
UNGROUPED|s__Clostridia_bacterium_UC5_1_1D1.t__SGB14995	2294.6477740178
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4269	2771.2853734997
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4721	1011.4013155813
UNGROUPED|s__Clostridiales_Family_XIII_bacterium_BX16.t__SGB3957	588.294651434
UNGROUPED|s__Clostridium_SGB4750.t__SGB4750	2052.6835740765
UNGROUPED|s__Clostridium_butyricum.t__SGB4037	1005.5710488171001
UNGROUPED|s__Clostridium_fessum.t__SGB4705	4007.3207587676
UNGROUPED|s__Clostridium_leptum.t__SGB14853	1249.2342041277
