# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210351
UNGROUPED	20013730.994148012
UNGROUPED|s__Actinomyces_sp_ICM58.t__SGB17169	243.5323072012
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	7152.1064676604
UNGROUPED|s__Alistipes_finegoldii.t__SGB2301	254.0977939841
UNGROUPED|s__Alistipes_onderdonkii.t__SGB2303	651.6875580348
UNGROUPED|s__Alistipes_putredinis.t__SGB2318	1186.3986229486
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	15389.3415142456
UNGROUPED|s__Anaerobutyricum_soehngenii.t__SGB4537	10530.9457891593
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	15421.9181699594
UNGROUPED|s__Bacteroides_clarus.t__SGB1832	566.9753741421
UNGROUPED|s__Bacteroides_fragilis.t__SGB1855	2690.0673865246
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	3417.9690428412
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	3526.375044603
UNGROUPED|s__Bacteroides_xylanisolvens.t__SGB1867	3578.1305238907
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	8887.4490150801
UNGROUPED|s__Bilophila_wadsworthia.t__SGB15452	3496.5846288045
UNGROUPED|s__Blautia_SGB4815.t__SGB4815	8170.7992211328
UNGROUPED|s__Blautia_faecis.t__SGB4820	15586.5746634452
UNGROUPED|s__Blautia_glucerasea.t__SGB4816	2901.4821796736
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	6460.6961522444
UNGROUPED|s__Blautia_obeum.t__SGB4810	9822.7532355767
UNGROUPED|s__Blautia_obeum.t__SGB4811	10175.8442054173
UNGROUPED|s__Blautia_sp_MSK_20_85.t__SGB4828	3105.4281723364
UNGROUPED|s__Blautia_stercoris.t__SGB4788	8878.5198002103
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	29674.0316010159
UNGROUPED|s__Butyricicoccus_SGB14990.t__SGB14990	5082.3980704539
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	2845.6833081266
UNGROUPED|s__Clostridia_bacterium.t__SGB5191	5781.2203551955
UNGROUPED|s__Clostridia_bacterium_UC5_1_1D1.t__SGB14995	3113.0121665068
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4269	3502.6334279318
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4770	3896.0921558794
UNGROUPED|s__Clostridiaceae_bacterium_AF18_31LB.t__SGB4767	10775.5466035578
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q3526.t__SGB4703	553.8971845356
UNGROUPED|s__Clostridiales_bacterium.t__SGB15143	1181.3911881317
UNGROUPED|s__Clostridiales_bacterium.t__SGB15159	6715.4544347452
UNGROUPED|s__Clostridiales_bacterium_KLE1615.t__SGB5090	2875.5063549838
UNGROUPED|s__Clostridium_SGB4750.t__SGB4750	3342.3943483929
UNGROUPED|s__Clostridium_SGB48024.t__SGB48024	5024.7816365302
UNGROUPED|s__Clostridium_butyricum.t__SGB4037	1309.9234752979
UNGROUPED|s__Clostridium_fessum.t__SGB4705	10755.4929872799
UNGROUPED|s__Clostridium_sp_AF27_2AA.t__SGB4712	3104.2226480994
UNGROUPED|s__Clostridium_sp_AF34_10BH.t__SGB4914	2176.9953813304
UNGROUPED|s__Clostridium_sp_AM22_11AC.t__SGB4749	4362.0449440158
UNGROUPED|s__Clostridium_sp_AM33_3.t__SGB4711	3176.6419207194
UNGROUPED|s__Clostridium_sp_AT4.t__SGB4753	452.93486639500003
