# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210346
UNGROUPED	17548337.5079625
UNGROUPED|s__Actinomyces_graevenitzii.t__SGB17130_group	159.9600444862
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	1159.4221642592
UNGROUPED|s__Alistipes_communis.t__SGB2290	2632.1863426361
UNGROUPED|s__Alistipes_finegoldii.t__SGB2301	2793.9546235849
UNGROUPED|s__Alistipes_onderdonkii.t__SGB2303	16065.0176313257
UNGROUPED|s__Alistipes_putredinis.t__SGB2318	25495.2171814694
UNGROUPED|s__Alistipes_sp_D31t1_170403_E11.t__SGB2293	386.5856935695
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	4032.9927660998
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	10407.5865761353
UNGROUPED|s__Anaerotignum_faecicola.t__SGB5190	940.4688910745
UNGROUPED|s__Bacteroides_caccae.t__SGB1877	5186.0292636654
UNGROUPED|s__Bacteroides_eggerthii.t__SGB1829	27654.6824022308
UNGROUPED|s__Bacteroides_nordii.t__SGB1858	5973.4877329026
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	19065.7733521773
UNGROUPED|s__Bacteroides_thetaiotaomicron.t__SGB1861	5996.263914219
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	46752.6061383221
UNGROUPED|s__Bacteroides_xylanisolvens.t__SGB1867	11352.5443614601
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	5438.4383336367
UNGROUPED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	38387.1633671677
UNGROUPED|s__Blautia_SGB4815.t__SGB4815	2404.9055228318
UNGROUPED|s__Blautia_faecicola.t__SGB4867	1339.7174997124
UNGROUPED|s__Blautia_faecis.t__SGB4820	5713.3444895958
UNGROUPED|s__Blautia_glucerasea.t__SGB4816	1183.0703812624
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	1979.6036736112
UNGROUPED|s__Blautia_obeum.t__SGB4810	4376.7784386139
UNGROUPED|s__Blautia_obeum.t__SGB4811	6251.4553543334005
UNGROUPED|s__Blautia_sp_Marseille_P3087.t__SGB4813	5244.8349843186
UNGROUPED|s__Blautia_stercoris.t__SGB4788	1394.7608098507
UNGROUPED|s__Blautia_wexlerae.t__SGB4831	1231.0279372874
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	11170.2844973728
UNGROUPED|s__Butyricicoccus_sp_AM29_23AC.t__SGB14991	1148.5712737661
UNGROUPED|s__Butyricimonas_paravirosa.t__SGB1785	928.4846003753
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	8467.3552167373
UNGROUPED|s__Citrobacter_braakii.t__SGB10086	6989.0165370613
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4269	3342.179710546
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4770	2086.7154487726
UNGROUPED|s__Clostridiaceae_bacterium_AF18_31LB.t__SGB4767	3290.996740261
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q4143.t__SGB4768	2806.5013891409
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q4149.t__SGB15091	1385.1614437893
UNGROUPED|s__Clostridiaceae_unclassified_SGB4771.t__SGB4771	1070.4600691562
UNGROUPED|s__Clostridiales_Family_XIII_bacterium_BX16.t__SGB3957	662.1886086072
UNGROUPED|s__Clostridiales_bacterium_KLE1615.t__SGB5090	3903.5629592774
UNGROUPED|s__Clostridium_SGB6173.t__SGB6173	1854.3854415479
UNGROUPED|s__Clostridium_fessum.t__SGB4705	2665.538568487
UNGROUPED|s__Clostridium_leptum.t__SGB14853	426.126570482
UNGROUPED|s__Clostridium_sp_AF34_10BH.t__SGB4914	3044.2442355639
UNGROUPED|s__Clostridium_sp_AM22_11AC.t__SGB4749	4071.8050275302
UNGROUPED|s__Clostridium_sp_AM33_3.t__SGB4711	1754.8643061233
UNGROUPED|s__Clostridium_sp_AM49_4BH.t__SGB4652	6083.6676362431
UNGROUPED|s__Collinsella_aerofaciens.t__SGB14535_group	11712.241144063
UNGROUPED|s__Coprococcus_catus.t__SGB4670	1750.2246136369
UNGROUPED|s__Coprococcus_comes.t__SGB4577	2497.338550114
UNGROUPED|s__Coprococcus_eutactus.t__SGB5121	691.3072585666
UNGROUPED|s__Dorea_formicigenerans.t__SGB4575	5084.4248082137
UNGROUPED|s__Dorea_longicatena.t__SGB4581	4444.229844991
UNGROUPED|s__Dorea_longicatena.t__SGB4582	3838.6723653733
UNGROUPED|s__Dysosmobacter_sp_BX15.t__SGB15053	2670.9010562382
UNGROUPED|s__Dysosmobacter_sp_NSJ_60.t__SGB15124	4885.0685127743
UNGROUPED|s__Dysosmobacter_welbionis.t__SGB15078	1110.3431683613
UNGROUPED|s__Eggerthella_lenta.t__SGB14809	1317.7919736081
UNGROUPED|s__Enterococcus_asini.t__SGB7927	823.9393660202
UNGROUPED|s__Enterococcus_faecalis.t__SGB7962	1385.125620547
UNGROUPED|s__Enterococcus_faecium.t__SGB7968	1359.2662734186
UNGROUPED|s__Escherichia_coli.t__SGB10068	26163.3334371056
UNGROUPED|s__Eubacteriaceae_bacterium.t__SGB5043	4283.9745937546
UNGROUPED|s__Eubacteriaceae_bacterium_Marseille_Q4139.t__SGB4718	1485.2685958072
UNGROUPED|s__Eubacterium_ramulus.t__SGB4959	2431.3959032924
UNGROUPED|s__Eubacterium_ramulus.t__SGB4960	6623.2591595126
UNGROUPED|s__Eubacterium_rectale.t__SGB4933	10830.001854381
UNGROUPED|s__Eubacterium_siraeum.t__SGB4198	477.1671045024
UNGROUPED|s__Eubacterium_sp_AF34_35BH.t__SGB5051	7166.8726949115
UNGROUPED|s__Evtepia_gabavorous.t__SGB15120	866.3228728692
UNGROUPED|s__Faecalibacillus_intestinalis.t__SGB6754	6193.9678815674
UNGROUPED|s__Faecalibacterium_SGB15346.t__SGB15346	17640.8841948553
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15316	27770.6564601312
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15317	8165.9868923303
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15318	38333.0916640106
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15332	50538.0386428881
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15342	14909.4223595821
UNGROUPED|s__Faecalicatena_fissicatena.t__SGB4871	4947.0965062679
UNGROUPED|s__Firmicutes_bacterium_AF16_15.t__SGB4993	1755.2414939598
UNGROUPED|s__Flavonifractor_plautii.t__SGB15132	749.3217876743
UNGROUPED|s__Fusicatenibacter_saccharivorans.t__SGB4874	13919.7788976561
UNGROUPED|s__GGB2653_SGB3574.t__SGB3574	352.0030922973
UNGROUPED|s__GGB2998_SGB3988.t__SGB3988	1164.4295568158
UNGROUPED|s__GGB3109_SGB4121.t__SGB4121	387.516663084
UNGROUPED|s__GGB3304_SGB4367.t__SGB4367	3275.3606878895
UNGROUPED|s__GGB3321_SGB4394.t__SGB4394	246.22998134510001
UNGROUPED|s__GGB3490_SGB4664.t__SGB4664	1402.4654106767
UNGROUPED|s__GGB4658_SGB6445.t__SGB6445	3730.867960274
UNGROUPED|s__GGB51441_SGB71759.t__SGB71759	708.6457665811
UNGROUPED|s__GGB9345_SGB14311.t__SGB14311	287.6957180106
UNGROUPED|s__GGB9365_SGB14341.t__SGB14341	254.74565637450002
UNGROUPED|s__GGB9468_SGB14861.t__SGB14861	8838.952543478401
UNGROUPED|s__GGB9524_SGB14924.t__SGB14924	299.3614016171
UNGROUPED|s__GGB9561_SGB14972.t__SGB14972	1944.6566224755
UNGROUPED|s__GGB9581_SGB14999.t__SGB14999	1217.3064227039
UNGROUPED|s__GGB9667_SGB15164.t__SGB15164	1564.2877477481
UNGROUPED|s__GGB9699_SGB15216.t__SGB15216	290.0357653413
UNGROUPED|s__GGB9707_SGB15229.t__SGB15229	1534.893830247
UNGROUPED|s__GGB9708_SGB15234.t__SGB15234	529.1495732838
UNGROUPED|s__GGB9712_SGB15244.t__SGB15244	161.663369699
UNGROUPED|s__GGB9713_SGB15249.t__SGB15249	422.4509682818
UNGROUPED|s__GGB9715_SGB15260.t__SGB15260	368.136884296
UNGROUPED|s__GGB9715_SGB15265.t__SGB15265	433.03744963180003
UNGROUPED|s__GGB9730_SGB15291.t__SGB15291	2486.0141269148
UNGROUPED|s__GGB9758_SGB15368.t__SGB15368	322.7113928034
UNGROUPED|s__GGB9759_SGB15370.t__SGB15370	2703.8096293998
UNGROUPED|s__GGB9818_SGB15459.t__SGB15459	143.9792702921
UNGROUPED|s__Gemmiger_formicilis.t__SGB15300	5546.1216138374
UNGROUPED|s__Gordonibacter_pamelaeae.t__SGB14807	719.6850099973
UNGROUPED|s__Intestinibacter_bartlettii.t__SGB6140	411.5525653095
