# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210363
UNGROUPED	20536774.144133203
UNGROUPED|s__Actinomyces_bouchesdurhonensis.t__SGB17152	893.4921861581
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	11981.7863798222
UNGROUPED|s__Amedibacterium_intestinale.t__SGB4042	24443.0662222015
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	19815.6608555506
UNGROUPED|s__Anaerobutyricum_soehngenii.t__SGB4537	19638.9812043752
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	7868.8967630734
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	1598.7494887312
UNGROUPED|s__Bacteroides_stercoris.t__SGB1830	2536.5715215801
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	1288.1372040318
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	3833.8951395728
UNGROUPED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	7471.6571293638
UNGROUPED|s__Blautia_caecimuris.t__SGB4862	1180.2280727145
UNGROUPED|s__Blautia_faecis.t__SGB4820	5499.085944863
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	9317.2611308736
UNGROUPED|s__Blautia_obeum.t__SGB4811	7535.7185052565
UNGROUPED|s__Blautia_stercoris.t__SGB4788	3298.119845116
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	22277.5849874355
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	2048.4216272487
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4721	343.0470002502
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q3526.t__SGB4703	5295.7118844378
UNGROUPED|s__Clostridiales_bacterium_KLE1615.t__SGB5090	2015.3565933976
UNGROUPED|s__Clostridium_SGB4750.t__SGB4750	3157.2828875121
UNGROUPED|s__Clostridium_fessum.t__SGB4705	5050.0162047993
UNGROUPED|s__Clostridium_sp_AM22_11AC.t__SGB4749	1214.4659710267
UNGROUPED|s__Clostridium_sp_AT4.t__SGB4753	3427.3243021372
UNGROUPED|s__Clostridium_sp_NSJ_42.t__SGB6174	2907.7486352661
UNGROUPED|s__Collinsella_aerofaciens.t__SGB14535_group	15143.0762499818
UNGROUPED|s__Coprococcus_catus.t__SGB4670	601.5526655227
UNGROUPED|s__Dorea_formicigenerans.t__SGB4575	12107.7401361265
UNGROUPED|s__Dorea_longicatena.t__SGB4582	18632.6640075423
UNGROUPED|s__Dorea_sp_AF36_15AT.t__SGB4552	1923.695520151
UNGROUPED|s__Eggerthella_lenta.t__SGB14809	456.614153942
UNGROUPED|s__Escherichia_coli.t__SGB10068	19046.5280559743
UNGROUPED|s__Eubacterium_ramulus.t__SGB4960	18989.957175805
UNGROUPED|s__Eubacterium_rectale.t__SGB4933	310280.1183383082
UNGROUPED|s__Eubacterium_sulci.t__SGB3934_group	105.5153566998
UNGROUPED|s__Eubacterium_ventriosum.t__SGB5045	2846.8702680383
UNGROUPED|s__Faecalibacillus_intestinalis.t__SGB6754	17666.8784049897
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15316	1405.1681725973
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15318	1347.8100810101
UNGROUPED|s__Faecalicatena_fissicatena.t__SGB4871	8286.639317648
UNGROUPED|s__Fructilactobacillus_sanfranciscensis.t__SGB7164	3162.5718028787
UNGROUPED|s__Fusicatenibacter_saccharivorans.t__SGB4874	6440.3849607921
UNGROUPED|s__GGB3109_SGB4121.t__SGB4121	869.9826980982
UNGROUPED|s__GGB3363_SGB4448.t__SGB4448	1647.6437156575
UNGROUPED|s__GGB3524_SGB4704.t__SGB4704	1818.9417902375
UNGROUPED|s__Gemmiger_formicilis.t__SGB15300	7390.0710338898
UNGROUPED|s__Klebsiella_pneumoniae.t__SGB10115	30699.9023181961
UNGROUPED|s__Lachnospira_pectinoschiza.t__SGB5075	7463.9918012657
UNGROUPED|s__Lacrimispora_amygdalina.t__SGB4716	394.0137894107
UNGROUPED|s__Mediterraneibacter_glycyrrhizinilyticus.t__SGB4606	2468.3243863868
UNGROUPED|s__Parabacteroides_distasonis.t__SGB1934	1066.5598620976
UNGROUPED|s__Parabacteroides_merdae.t__SGB1949	581.5188451543
UNGROUPED|s__Phascolarctobacterium_faecium.t__SGB5792	129.2180536632
UNGROUPED|s__Phocaeicola_dorei.t__SGB1815	1833.4840440509
UNGROUPED|s__Phocaeicola_massiliensis.t__SGB1812	1056.8534176422
UNGROUPED|s__Phocaeicola_vulgatus.t__SGB1814	5563.5642534303
UNGROUPED|s__Romboutsia_timonensis.t__SGB6148	1526.088416905
UNGROUPED|s__Roseburia_faecis.t__SGB4925	12229.8865606953
UNGROUPED|s__Roseburia_hominis.t__SGB4936	580.6063470942
UNGROUPED|s__Roseburia_inulinivorans.t__SGB4940	12558.030640811
UNGROUPED|s__Ruminococcus_bromii.t__SGB4285	7515.6148063091
UNGROUPED|s__Ruminococcus_gnavus.t__SGB4584	22378.9982474487
UNGROUPED|s__Ruminococcus_sp_AF13_28.t__SGB4834	107287.9189346222
UNGROUPED|s__Ruminococcus_sp_AF46_10NS.t__SGB4824	12709.5915990763
UNGROUPED|s__Ruminococcus_torques.t__SGB4608	2520.39215771
UNGROUPED|s__Streptococcus_equinus.t__SGB8022	157.095856181
UNGROUPED|s__Streptococcus_parasanguinis.t__SGB8071	1666.1853993758
UNGROUPED|s__Streptococcus_salivarius.t__SGB8007_group	6162.226886523
UNGROUPED|s__Tyzzerella_nexilis.t__SGB4588	8029.652352387
UNGROUPED|s__Veillonella_parvula.t__SGB6939	199.2750284719
UNGROUPED|s__Weissella_confusa.t__SGB7115	9241.9553383153
UNGROUPED|unclassified	14178.5031972734
K00001	0.1429189813
K00001|s__Roseburia_hominis.t__SGB4936	0.1429189813
K00002	9.826360001800001
K00002|s__Blautia_caecimuris.t__SGB4862	0.1572723139
K00002|s__Blautia_massiliensis.t__SGB4826	2.5449519888
K00002|s__Blautia_obeum.t__SGB4811	0.2001647632
K00002|s__Ruminococcus_sp_AF13_28.t__SGB4834	5.8087672554
K00002|s__Ruminococcus_sp_AF46_10NS.t__SGB4824	1.1152036805
K00003	10.2471794371
K00003|s__Anaerostipes_hadrus.t__SGB4540_group	2.6684907859
K00003|s__Bifidobacterium_longum.t__SGB17248	2.4015609641
K00003|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	4.4376669989
K00003|s__Streptococcus_parasanguinis.t__SGB8071	0.5144078623
K00003|s__Veillonella_parvula.t__SGB6939	0.171018448
K00003|unclassified	0.0540343779
K00005	37.5317725788
K00005|s__Anaerobutyricum_hallii.t__SGB4532	2.3132092229
K00005|s__Anaerobutyricum_soehngenii.t__SGB4537	0.4883441693
K00005|s__Collinsella_aerofaciens.t__SGB14535_group	9.8898333717
K00005|s__Escherichia_coli.t__SGB10068	12.8215439094
K00005|s__Eubacterium_sulci.t__SGB3934_group	0.0761441399
K00005|s__Klebsiella_pneumoniae.t__SGB10115	9.488450393
K00005|s__Lacrimispora_amygdalina.t__SGB4716	0.227015052
K00005|s__Streptococcus_parasanguinis.t__SGB8071	0.8406404555
K00005|s__Streptococcus_salivarius.t__SGB8007_group	1.2415612881
K00005|s__Veillonella_parvula.t__SGB6939	0.145030577
K00009	23.0562003241
K00009|s__Anaerostipes_hadrus.t__SGB4540_group	0.9722144223
K00009|s__Escherichia_coli.t__SGB10068	12.085991292200001
K00009|s__Eubacterium_ramulus.t__SGB4960	1.0706789465
K00009|s__Klebsiella_pneumoniae.t__SGB10115	8.927315663
K00010	11.891679866099999
K00010|s__Anaerostipes_hadrus.t__SGB4540_group	2.3183171158
K00010|s__Klebsiella_pneumoniae.t__SGB10115	9.5733627503
K00012	10.1211591697
K00012|s__Escherichia_coli.t__SGB10068	7.8829248643
K00012|s__Faecalibacterium_prausnitzii.t__SGB15316	0.0905065163
K00012|s__Klebsiella_pneumoniae.t__SGB10115	1.7970166606
K00012|s__Parabacteroides_distasonis.t__SGB1934	0.1154503303
K00012|s__Veillonella_parvula.t__SGB6939	0.1317812218
K00012|unclassified	0.1034795764
K00013	25.6522113628
K00013|s__Bacteroides_ovatus.t__SGB1871	0.2458390189
K00013|s__Bifidobacterium_longum.t__SGB17248	2.500449932
K00013|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	2.7372257289
K00013|s__Blautia_obeum.t__SGB4811	0.3173222828
K00013|s__Coprococcus_catus.t__SGB4670	0.2126548051
K00013|s__Escherichia_coli.t__SGB10068	8.0916262665
K00013|s__Faecalibacterium_prausnitzii.t__SGB15316	0.0216620836
K00013|s__Faecalibacterium_prausnitzii.t__SGB15318	0.386825648
K00013|s__Klebsiella_pneumoniae.t__SGB10115	7.5643208919
K00013|s__Parabacteroides_distasonis.t__SGB1934	0.0861890676
K00013|s__Phascolarctobacterium_faecium.t__SGB5792	0.1018009438
K00013|s__Streptococcus_salivarius.t__SGB8007_group	3.3862946937
K00014	38.7966935942
K00014|s__Anaerostipes_hadrus.t__SGB4540_group	1.9627509047
K00014|s__Bacteroides_ovatus.t__SGB1871	0.3263077744
K00014|s__Bacteroides_uniformis.t__SGB1836	0.2447308308
K00014|s__Clostridium_sp_NSJ_42.t__SGB6174	0.3044709504
K00014|s__Coprococcus_catus.t__SGB4670	0.1353204224
K00014|s__Escherichia_coli.t__SGB10068	10.4483018837
K00014|s__Eubacterium_sulci.t__SGB3934_group	0.1006527076
K00014|s__Faecalibacterium_prausnitzii.t__SGB15316	0.1642157056
K00014|s__Klebsiella_pneumoniae.t__SGB10115	22.8606530393
K00014|s__Phocaeicola_dorei.t__SGB1815	0.9270420408
K00014|s__Phocaeicola_vulgatus.t__SGB1814	0.8858401723
K00014|unclassified	0.4364071622
K00015	0.132883508
K00015|s__Phascolarctobacterium_faecium.t__SGB5792	0.132883508
K00016	25.8461970326
K00016|s__Bifidobacterium_longum.t__SGB17248	4.6618732584
K00016|s__Coprococcus_catus.t__SGB4670	0.3995987244
K00016|s__Fructilactobacillus_sanfranciscensis.t__SGB7164	4.7204691026
K00016|s__Klebsiella_pneumoniae.t__SGB10115	6.358338598
K00016|s__Lacrimispora_amygdalina.t__SGB4716	0.1041100872
K00016|s__Phascolarctobacterium_faecium.t__SGB5792	0.2556446389
K00016|s__Streptococcus_parasanguinis.t__SGB8071	0.85866826
K00016|s__Streptococcus_salivarius.t__SGB8007_group	8.409037032299999
K00016|unclassified	0.0784573307
K00018	134.0294719374
K00018|s__Anaerobutyricum_soehngenii.t__SGB4537	2.9669565727
K00018|s__Coprococcus_catus.t__SGB4670	0.2281001198
K00018|s__Eggerthella_lenta.t__SGB14809	0.2547024597
K00018|s__Eubacterium_rectale.t__SGB4933	130.3877699403
K00018|s__Lacrimispora_amygdalina.t__SGB4716	0.1919428449
K00019	5.6273008538
K00019|s__Klebsiella_pneumoniae.t__SGB10115	5.6273008538
K00020	5.9898133124
K00020|s__Coprococcus_catus.t__SGB4670	0.1184053696
K00020|s__Klebsiella_pneumoniae.t__SGB10115	5.8714079428
K00024	22.3660611413
K00024|s__Bacteroides_ovatus.t__SGB1871	0.43412862809999997
K00024|s__Bacteroides_stercoris.t__SGB1830	0.1901943871
K00024|s__Bacteroides_uniformis.t__SGB1836	0.3906351354
K00024|s__Escherichia_coli.t__SGB10068	11.1614492743
K00024|s__Klebsiella_pneumoniae.t__SGB10115	8.8362594303
K00024|s__Parabacteroides_distasonis.t__SGB1934	0.0461377796
K00024|s__Phocaeicola_dorei.t__SGB1815	0.0922949774
K00024|s__Phocaeicola_massiliensis.t__SGB1812	0.1691718585
K00024|s__Phocaeicola_vulgatus.t__SGB1814	1.0457896706
K00027	17.0738885345
K00027|s__Anaerostipes_hadrus.t__SGB4540_group	3.4671822843
K00027|s__Escherichia_coli.t__SGB10068	6.7472607893
K00027|s__Fructilactobacillus_sanfranciscensis.t__SGB7164	2.122625623
K00027|s__Klebsiella_pneumoniae.t__SGB10115	4.5350352001
K00027|s__Phascolarctobacterium_faecium.t__SGB5792	0.1244464599
K00027|unclassified	0.0773381779
K00029	16.0713704753
K00029|s__Bacteroides_uniformis.t__SGB1836	0.2587812164
K00029|s__Escherichia_coli.t__SGB10068	9.6603440454
K00029|s__Klebsiella_pneumoniae.t__SGB10115	6.1522452135
K00030	0.3716300154
K00030|s__Eggerthella_lenta.t__SGB14809	0.10412596
K00030|s__Eubacterium_sulci.t__SGB3934_group	0.2675040554
K00031	130.6975295572
K00031|s__Bifidobacterium_longum.t__SGB17248	1.9112747348
K00031|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	2.5028597718
K00031|s__Coprococcus_catus.t__SGB4670	0.1495705565
K00031|s__Escherichia_coli.t__SGB10068	7.1492345582
K00031|s__Eubacterium_rectale.t__SGB4933	113.5007768652
K00031|s__Klebsiella_pneumoniae.t__SGB10115	5.3231916757
K00031|s__Roseburia_faecis.t__SGB4925	0.1606213951
K00033	13.891320842099999
K00033|s__Bacteroides_ovatus.t__SGB1871	0.2655098636
K00033|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	2.3171930833
K00033|s__Escherichia_coli.t__SGB10068	5.496813983
K00033|s__Fructilactobacillus_sanfranciscensis.t__SGB7164	1.2747511009
K00033|s__Klebsiella_pneumoniae.t__SGB10115	4.5370528113
K00036	19.9384607426
K00036|s__Bacteroides_ovatus.t__SGB1871	0.2352296586
K00036|s__Bifidobacterium_longum.t__SGB17248	2.9392642291
K00036|s__Escherichia_coli.t__SGB10068	6.782580377
K00036|s__Fructilactobacillus_sanfranciscensis.t__SGB7164	2.5251521735
K00036|s__Klebsiella_pneumoniae.t__SGB10115	5.8451386228
K00036|s__Parabacteroides_distasonis.t__SGB1934	0.0555193615
K00036|s__Phocaeicola_dorei.t__SGB1815	0.017934931
K00036|s__Phocaeicola_vulgatus.t__SGB1814	1.3271848929
K00036|unclassified	0.2104564962
K00040	9.2955576792
K00040|s__Escherichia_coli.t__SGB10068	9.2955576792
K00041	14.0845330445
K00041|s__Bacteroides_ovatus.t__SGB1871	0.2361687271
K00041|s__Escherichia_coli.t__SGB10068	6.4114281296
K00041|s__Klebsiella_pneumoniae.t__SGB10115	5.8966419294
K00041|s__Phocaeicola_dorei.t__SGB1815	0.0850207418
