# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210357
UNGROUPED	18674660.035207767
UNGROUPED|s__Actinomyces_SGB17168.t__SGB17168	478.9846551527
UNGROUPED|s__Actinomyces_sp_ICM58.t__SGB17169	335.8867142136
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	3731.4133397881
UNGROUPED|s__Akkermansia_muciniphila.t__SGB9228	188.4905968689
UNGROUPED|s__Alistipes_putredinis.t__SGB2318	233.7981709265
UNGROUPED|s__Allisonella_histaminiformans.t__SGB5843	1610.8609754704
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	9408.4533372916
UNGROUPED|s__Anaerobutyricum_soehngenii.t__SGB4537	4093.0846162344
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	6457.2638376183
UNGROUPED|s__Bacteroides_caccae.t__SGB1877	584.036407763
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	2257.4429442803
UNGROUPED|s__Bacteroides_stercoris.t__SGB1830	575.352787741
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	876.3009779856
UNGROUPED|s__Bifidobacterium_bifidum.t__SGB17256	20695.1693802394
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	52887.4192392048
UNGROUPED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	14899.2605406473
UNGROUPED|s__Blautia_faecicola.t__SGB4867	2533.5337468402
UNGROUPED|s__Blautia_faecis.t__SGB4820	5231.2813140605
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	7956.6618386575
UNGROUPED|s__Blautia_obeum.t__SGB4811	5031.5893055564
UNGROUPED|s__Blautia_sp_MSK_20_85.t__SGB4828	6502.5615461849
UNGROUPED|s__Blautia_sp_Marseille_P3087.t__SGB4813	5654.7677704515
UNGROUPED|s__Blautia_stercoris.t__SGB4788	1088.3068400698
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	12790.479337404
UNGROUPED|s__Butyricicoccus_SGB14990.t__SGB14990	1203.0438868286
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	12674.1384854939
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4269	1265.3875158617
UNGROUPED|s__Clostridiaceae_bacterium_AF18_31LB.t__SGB4767	4045.8197505319
UNGROUPED|s__Clostridiales_bacterium_KLE1615.t__SGB5090	2511.0656091391
UNGROUPED|s__Clostridium_SGB4750.t__SGB4750	3803.4571359459
UNGROUPED|s__Clostridium_fessum.t__SGB4705	8163.5008732998
UNGROUPED|s__Clostridium_sp_AM22_11AC.t__SGB4749	13093.5752423086
UNGROUPED|s__Clostridium_sp_AM33_3.t__SGB4711	2257.7839240118
UNGROUPED|s__Clostridium_sp_AM42_4.t__SGB4709	7007.3259001447
UNGROUPED|s__Clostridium_sp_AT4.t__SGB4753	1608.2963250026
UNGROUPED|s__Coprococcus_catus.t__SGB4670	530.4100418396
UNGROUPED|s__Coprococcus_comes.t__SGB4577	6153.3698037891
UNGROUPED|s__Dorea_formicigenerans.t__SGB4575	3909.6202956846
UNGROUPED|s__Dorea_longicatena.t__SGB4581	9208.9764401372
UNGROUPED|s__Dorea_longicatena.t__SGB4582	3242.9646904934
UNGROUPED|s__Eggerthella_lenta.t__SGB14809	859.2006864004
UNGROUPED|s__Escherichia_coli.t__SGB10068	3621.804220775
UNGROUPED|s__Eubacterium_ramulus.t__SGB4959	1488.1887696853
UNGROUPED|s__Eubacterium_ramulus.t__SGB4960	9254.6836123809
UNGROUPED|s__Eubacterium_rectale.t__SGB4933	73925.3530704574
UNGROUPED|s__Eubacterium_sp_AF34_35BH.t__SGB5051	8962.2522660569
UNGROUPED|s__Faecalibacillus_intestinalis.t__SGB6754	7722.9348863714
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15316	40123.4272070562
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15332	4378.3822699625
UNGROUPED|s__Faecalibacterium_prausnitzii.t__SGB15342	5678.8811204364
UNGROUPED|s__Faecalicatena_fissicatena.t__SGB4871	2034.3836975305
UNGROUPED|s__Faecalimonas_umbilicata.t__SGB4583	705.4254400954
UNGROUPED|s__Fusicatenibacter_saccharivorans.t__SGB4874	28700.9571078807
UNGROUPED|s__GGB3109_SGB4121.t__SGB4121	388.4696973823
UNGROUPED|s__GGB3363_SGB4448.t__SGB4448	3018.4301249007
UNGROUPED|s__GGB3828_SGB5197.t__SGB5197	106.9317455496
UNGROUPED|s__GGB4456_SGB6141.t__SGB6141	1733.3184120776
UNGROUPED|s__GGB51441_SGB71759.t__SGB71759	766.9080436826
UNGROUPED|s__GGB9715_SGB15265.t__SGB15265	538.1756634226
UNGROUPED|s__Gemmiger_formicilis.t__SGB15300	42325.5087224445
UNGROUPED|s__Lachnospiraceae_bacterium.t__SGB4781	304.3478538723
UNGROUPED|s__Lachnospiraceae_bacterium_Marseille_Q4251.t__SGB4780	847.6741350627
UNGROUPED|s__Lacrimispora_amygdalina.t__SGB4716	2695.0178925128
UNGROUPED|s__Lacrimispora_celerecrescens.t__SGB4868	4201.1737968502
UNGROUPED|s__Megamonas_funiformis.t__SGB6962	373182.7317377463
UNGROUPED|s__Parabacteroides_distasonis.t__SGB1934	2958.7793254738
UNGROUPED|s__Parabacteroides_merdae.t__SGB1949	1059.19044279
UNGROUPED|s__Phascolarctobacterium_faecium.t__SGB5792	1815.8424693603
UNGROUPED|s__Phocaeicola_vulgatus.t__SGB1814	4631.8737903503
UNGROUPED|s__Prevotella_copri_clade_A.t__SGB1626	6947.2115914411
UNGROUPED|s__Romboutsia_timonensis.t__SGB6148	177.787839166
UNGROUPED|s__Roseburia_faecis.t__SGB4925	7045.881708914
UNGROUPED|s__Roseburia_hominis.t__SGB4936	667.6685159565
UNGROUPED|s__Roseburia_inulinivorans.t__SGB4940	4551.5604127871
UNGROUPED|s__Ruminococcus_gnavus.t__SGB4584	3438.9329102605
UNGROUPED|s__Ruminococcus_lactaris.t__SGB4557	982.912855253
UNGROUPED|s__Ruminococcus_sp_AF13_28.t__SGB4834	12196.4152492461
UNGROUPED|s__Ruminococcus_torques.t__SGB4563	7789.1663976296
UNGROUPED|s__Ruminococcus_torques.t__SGB4608	679.3736678787
UNGROUPED|s__Senegalimassilia_anaerobia.t__SGB14824_group	1903.3863766255
UNGROUPED|s__Streptococcus_parasanguinis.t__SGB8071	280.0976626232
UNGROUPED|s__Streptococcus_rubneri.t__SGB8056	568.6338311219
UNGROUPED|s__Streptococcus_salivarius.t__SGB8007_group	1163.4641257827
UNGROUPED|s__Sutterella_wadsworthensis.t__SGB9283	129.5294799546
UNGROUPED|s__Tyzzerella_SGB4587.t__SGB4587	5162.3633891288
UNGROUPED|s__Veillonella_parvula.t__SGB6939	191.8236844632
UNGROUPED|s__Veillonella_rogosae.t__SGB6956	162.8584714768
UNGROUPED|s__Veillonella_tobetsuensis.t__SGB6935	184.6303743455
UNGROUPED|unclassified	10185.9523139443
K00001	6.4367137287
K00001|s__Bifidobacterium_bifidum.t__SGB17256	6.1706357243
K00001|s__Roseburia_hominis.t__SGB4936	0.2660780044
K00002	5.6583475149
K00002|s__Blautia_massiliensis.t__SGB4826	3.1386327591
K00002|s__Blautia_obeum.t__SGB4811	1.0276939123
K00002|s__Blautia_sp_MSK_20_85.t__SGB4828	1.2776735126
K00002|s__Blautia_sp_Marseille_P3087.t__SGB4813	0.1249898001
K00002|s__Ruminococcus_sp_AF13_28.t__SGB4834	0.0893575307
K00003	37.9309396763
K00003|s__Anaerostipes_hadrus.t__SGB4540_group	2.6961161468
K00003|s__Bifidobacterium_longum.t__SGB17248	27.1814766664
K00003|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	7.6270412138
K00003|s__Streptococcus_parasanguinis.t__SGB8071	0.2394234416
K00003|s__Veillonella_parvula.t__SGB6939	0.083058759
K00003|s__Veillonella_rogosae.t__SGB6956	0.0519117244
K00003|s__Veillonella_tobetsuensis.t__SGB6935	0.0519117244
K00005	4.5572030961
K00005|s__Anaerobutyricum_hallii.t__SGB4532	1.7476035515
K00005|s__Anaerobutyricum_soehngenii.t__SGB4537	0.0748972951
K00005|s__Escherichia_coli.t__SGB10068	1.6621971071
K00005|s__Streptococcus_parasanguinis.t__SGB8071	0.113060763
K00005|s__Streptococcus_rubneri.t__SGB8056	0.326619982
K00005|s__Streptococcus_salivarius.t__SGB8007_group	0.5024922801
K00005|unclassified	0.1303321174
K00008	14.243869545299999
K00008|s__Anaerostipes_hadrus.t__SGB4540_group	0.2103663574
K00008|unclassified	14.0335031879
K00009	4.3322629002
K00009|s__Anaerostipes_hadrus.t__SGB4540_group	1.1595224861
K00009|s__Escherichia_coli.t__SGB10068	2.0849409684
K00009|s__Eubacterium_ramulus.t__SGB4960	1.0877994457
K00010	8.7274916943
K00010|s__Bifidobacterium_bifidum.t__SGB17256	6.7403437807
K00010|unclassified	1.9871479136
K00012	1.5092359738
K00012|s__Escherichia_coli.t__SGB10068	0.7098443867
K00012|s__Parabacteroides_distasonis.t__SGB1934	0.519930319
K00012|s__Veillonella_parvula.t__SGB6939	0.0232735864
K00012|s__Veillonella_rogosae.t__SGB6956	0.0465471729
K00012|s__Veillonella_tobetsuensis.t__SGB6935	0.0465471729
K00012|unclassified	0.1630933359
K00013	76.4192560056
K00013|s__Akkermansia_muciniphila.t__SGB9228	0.1760370136
K00013|s__Bacteroides_caccae.t__SGB1877	0.0416388594
K00013|s__Bacteroides_ovatus.t__SGB1871	0.4256761399
K00013|s__Bifidobacterium_bifidum.t__SGB17256	8.6499479729
K00013|s__Bifidobacterium_longum.t__SGB17248	30.7676247043
K00013|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	5.9609752128
K00013|s__Blautia_obeum.t__SGB4811	0.6678288011
K00013|s__Blautia_sp_Marseille_P3087.t__SGB4813	0.0513714462
K00013|s__Coprococcus_catus.t__SGB4670	0.0619682066
K00013|s__Escherichia_coli.t__SGB10068	1.709981229
K00013|s__Eubacterium_ramulus.t__SGB4960	1.0044464893
K00013|s__Faecalibacterium_prausnitzii.t__SGB15316	22.2932828326
K00013|s__Faecalibacterium_prausnitzii.t__SGB15332	0.1259309743
K00013|s__Faecalibacterium_prausnitzii.t__SGB15342	0.5141421786
K00013|s__Parabacteroides_distasonis.t__SGB1934	0.7011476313
K00013|s__Phascolarctobacterium_faecium.t__SGB5792	1.3151519047
K00013|s__Roseburia_hominis.t__SGB4936	0.1226620327
K00013|s__Ruminococcus_torques.t__SGB4563	1.0148016077
K00013|s__Streptococcus_salivarius.t__SGB8007_group	0.6677430033
K00013|s__Veillonella_parvula.t__SGB6939	0.1364050678
K00013|s__Veillonella_tobetsuensis.t__SGB6935	0.0104926975
K00014	38.0033266028
K00014|s__Anaerostipes_hadrus.t__SGB4540_group	2.1509019619
K00014|s__Bacteroides_caccae.t__SGB1877	0.0396195836
K00014|s__Bacteroides_ovatus.t__SGB1871	0.3565762526
K00014|s__Bacteroides_stercoris.t__SGB1830	0.0594293754
K00014|s__Bacteroides_uniformis.t__SGB1836	0.1188587509
K00014|s__Bifidobacterium_bifidum.t__SGB17256	6.9054286406
K00014|s__Coprococcus_catus.t__SGB4670	0.0985818766
K00014|s__Eggerthella_lenta.t__SGB14809	0.281700694
K00014|s__Escherichia_coli.t__SGB10068	1.1315826152
K00014|s__Faecalibacterium_prausnitzii.t__SGB15316	23.1820798879
K00014|s__Phocaeicola_vulgatus.t__SGB1814	1.0605600365
K00014|s__Ruminococcus_sp_AF13_28.t__SGB4834	1.2105662557
K00014|s__Ruminococcus_torques.t__SGB4563	1.3402697831
K00014|unclassified	0.0671708888
K00015	1.3911462273
K00015|s__Phascolarctobacterium_faecium.t__SGB5792	1.3911462273
K00016	63.7624446708
K00016|s__Bifidobacterium_bifidum.t__SGB17256	7.8433437304
K00016|s__Bifidobacterium_longum.t__SGB17248	52.4812880379
K00016|s__Coprococcus_catus.t__SGB4670	0.1863107025
K00016|s__Lacrimispora_amygdalina.t__SGB4716	0.8812458362
K00016|s__Phascolarctobacterium_faecium.t__SGB5792	1.2561997203
K00016|s__Streptococcus_parasanguinis.t__SGB8071	0.0565453723
K00016|s__Streptococcus_rubneri.t__SGB8056	0.2544541755
K00016|s__Streptococcus_salivarius.t__SGB8007_group	0.8030570958
K00018	35.4614664234
K00018|s__Coprococcus_catus.t__SGB4670	0.3692723037
K00018|s__Eggerthella_lenta.t__SGB14809	0.1746376733
K00018|s__Eubacterium_rectale.t__SGB4933	32.2415463344
K00018|s__Lacrimispora_amygdalina.t__SGB4716	0.8174776799
K00018|s__Ruminococcus_torques.t__SGB4563	1.8585324321
K00024	5.1613520731
K00024|s__Akkermansia_muciniphila.t__SGB9228	0.1126873294
K00024|s__Bacteroides_caccae.t__SGB1877	0.3709835765
K00024|s__Bacteroides_ovatus.t__SGB1871	0.9018605273
K00024|s__Bacteroides_stercoris.t__SGB1830	0.1857947022
K00024|s__Bacteroides_uniformis.t__SGB1836	0.0850032259
K00024|s__Eggerthella_lenta.t__SGB14809	0.1069984368
K00024|s__Escherichia_coli.t__SGB10068	1.8444169959
K00024|s__Parabacteroides_distasonis.t__SGB1934	0.0896311892
K00024|s__Parabacteroides_merdae.t__SGB1949	0.0448155946
K00024|s__Phocaeicola_vulgatus.t__SGB1814	1.4191604952
K00027	4.5997831976
K00027|s__Anaerostipes_hadrus.t__SGB4540_group	2.3668959801
K00027|s__Escherichia_coli.t__SGB10068	1.1615484291
K00027|s__Phascolarctobacterium_faecium.t__SGB5792	0.8131937914
K00027|unclassified	0.258144997
K00029	1.6645414936
