# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR28210345
UNGROUPED	33299295.941532657
UNGROUPED|s__Actinomyces_dentalis.t__SGB15877	219.2560955796
UNGROUPED|s__Actinomyces_oris.t__SGB15878	157.6004849392
UNGROUPED|s__Actinomyces_sp_ICM47.t__SGB17167_group	189.8735188082
UNGROUPED|s__Adlercreutzia_equolifaciens.t__SGB14798	1099.9600674893
UNGROUPED|s__Agathobaculum_butyriciproducens.t__SGB14993	716.6092977601
UNGROUPED|s__Alistipes_communis.t__SGB2290	2115.0188175292
UNGROUPED|s__Alistipes_ihumii.t__SGB2328	679.4199658344
UNGROUPED|s__Alistipes_onderdonkii.t__SGB2303	2418.5684605418
UNGROUPED|s__Alistipes_putredinis.t__SGB2318	17177.0192747315
UNGROUPED|s__Alistipes_shahii.t__SGB2295	2687.0603113139
UNGROUPED|s__Allisonella_histaminiformans.t__SGB5843	2911.8893784166
UNGROUPED|s__Anaerobutyricum_hallii.t__SGB4532	9580.2992086579
UNGROUPED|s__Anaerobutyricum_soehngenii.t__SGB4537	3906.5556266397
UNGROUPED|s__Anaeromassilibacillus_sp_An250.t__SGB14894	2204.9060561194
UNGROUPED|s__Anaerostipes_hadrus.t__SGB4540_group	3686.7512769834
UNGROUPED|s__Anaerotignum_faecicola.t__SGB5190	466.1641014857
UNGROUPED|s__Bacteroides_caccae.t__SGB1877	2407.3902024037
UNGROUPED|s__Bacteroides_cellulosilyticus.t__SGB1844	1068.5355542456
UNGROUPED|s__Bacteroides_intestinalis.t__SGB1846	1184.8037875392
UNGROUPED|s__Bacteroides_ovatus.t__SGB1871	3054.4421627139
UNGROUPED|s__Bacteroides_stercoris.t__SGB1830	5128.9845892574
UNGROUPED|s__Bacteroides_thetaiotaomicron.t__SGB1861	1818.5894853945001
UNGROUPED|s__Bacteroides_uniformis.t__SGB1836	8982.0216103951
UNGROUPED|s__Bacteroides_xylanisolvens.t__SGB1867	3288.1669749943
UNGROUPED|s__Bifidobacterium_adolescentis.t__SGB17244_group	32023.4841124531
UNGROUPED|s__Bifidobacterium_bifidum.t__SGB17256	15705.6882007109
UNGROUPED|s__Bifidobacterium_longum.t__SGB17248	22721.3788099483
UNGROUPED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	8919.3265482663
UNGROUPED|s__Bilophila_wadsworthia.t__SGB15452	3145.3522401057
UNGROUPED|s__Blautia_faecicola.t__SGB4867	2563.9802170316
UNGROUPED|s__Blautia_faecis.t__SGB4820	4187.8314530001
UNGROUPED|s__Blautia_glucerasea.t__SGB4816	1032.9057785469
UNGROUPED|s__Blautia_luti.t__SGB4832	4046.6067971045
UNGROUPED|s__Blautia_massiliensis.t__SGB4826	1393.1768207002
UNGROUPED|s__Blautia_obeum.t__SGB4810	1004.774374155
UNGROUPED|s__Blautia_obeum.t__SGB4811	3947.6999976967
UNGROUPED|s__Blautia_schinkii.t__SGB4825	2008.2649869498
UNGROUPED|s__Blautia_sp_Marseille_P3087.t__SGB4813	6172.444733666
UNGROUPED|s__Blautia_stercoris.t__SGB4788	2715.2934065419
UNGROUPED|s__Blautia_wexlerae.t__SGB4831	866.537705753
UNGROUPED|s__Blautia_wexlerae.t__SGB4837	6562.5827686621
UNGROUPED|s__Butyricicoccus_sp_AM29_23AC.t__SGB14991	3966.3604611585
UNGROUPED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	45192.1601368838
UNGROUPED|s__Citrobacter_freundii.t__SGB10083	1040.038509093
UNGROUPED|s__Citrobacter_freundii.t__SGB10084	1530.0213961596
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4269	1004.9328514836
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4721	760.6352867279
UNGROUPED|s__Clostridiaceae_bacterium.t__SGB4770	1736.076867099
UNGROUPED|s__Clostridiaceae_bacterium_AF18_31LB.t__SGB4767	3113.4430373331
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q4143.t__SGB4768	3366.1820767159
UNGROUPED|s__Clostridiaceae_bacterium_Marseille_Q4149.t__SGB15091	895.6563594919
UNGROUPED|s__Clostridiales_Family_XIII_bacterium_BX16.t__SGB3957	499.5674070781
UNGROUPED|s__Clostridiales_bacterium.t__SGB15143	604.8511641906
UNGROUPED|s__Clostridiales_bacterium_KLE1615.t__SGB5090	5518.567865898
UNGROUPED|s__Clostridium_SGB4750.t__SGB4750	1875.1752848509
UNGROUPED|s__Clostridium_SGB4751.t__SGB4751	1478.1402161729
UNGROUPED|s__Clostridium_SGB48024.t__SGB48024	2927.9958476356
UNGROUPED|s__Clostridium_SGB6173.t__SGB6173	2215.4468308681
UNGROUPED|s__Clostridium_SGB6176.t__SGB6176	238.9096720979
UNGROUPED|s__Clostridium_fessum.t__SGB4705	21391.9461494211
UNGROUPED|s__Clostridium_leptum.t__SGB14853	4229.191240547
UNGROUPED|s__Clostridium_saudiense.t__SGB6178	300.24303438009997
UNGROUPED|s__Clostridium_sp_1001270J_160509_D11.t__SGB6139	1371.6682200639
UNGROUPED|s__Clostridium_sp_AF27_2AA.t__SGB4712	1222.5207224718
UNGROUPED|s__Clostridium_sp_AF34_10BH.t__SGB4914	1195.799320647
